aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
 1608    74 hydro     3 d   1 	    -0.00015886    0.00000000      0.00039705    0.00000000      0.00047518    0.00000000     -0.00032475    0.00000000     -0.00012919    0.00000000      0.00007908    0.00000000      0.00019098    0.00000000     -0.00027004    0.00000000      0.00007134    0.00000000     -0.00013242    0.00000000     -0.00013847    0.00000000     -0.00006985    0.00000000     -0.00038968    0.00000000     -0.00025084    0.00000000     -0.00274528    0.00000000     -0.00088882    0.00000000  
 1609    74 hydro     3 d   2 	    -0.00882286    0.00000000      0.01077155    0.00000000     -0.00248728    0.00000000     -0.00184709    0.00000000     -0.00769925    0.00000000     -0.00321846    0.00000000      0.00099423    0.00000000     -0.00312775    0.00000000     -0.00335770    0.00000000     -0.00090364    0.00000000     -0.00737607    0.00000000     -0.01038856    0.00000000      0.00074471    0.00000000      0.00543828    0.00000000      0.00104784    0.00000000      0.00122828    0.00000000  
 1610    74 atomic    4 f  -3 	    -0.00034009    0.00000000     -0.00020438    0.00000000      0.00004855    0.00000000     -0.00002666    0.00000000     -0.00000705    0.00000000      0.00000137    0.00000000     -0.00000219    0.00000000      0.00000973    0.00000000     -0.00005707    0.00000000      0.00005405    0.00000000      0.00017683    0.00000000     -0.00006556    0.00000000     -0.00018167    0.00000000      0.00014537    0.00000000      0.00000660    0.00000000     -0.00001944    0.00000000  
 1611    74 atomic    4 f  -2 	     0.00000516    0.00000000     -0.00000512    0.00000000     -0.00000043    0.00000000      0.00000932    0.00000000     -0.00001182    0.00000000      0.00001435    0.00000000      0.00000199    0.00000000      0.00000242    0.00000000      0.00000259    0.00000000      0.00002483    0.00000000      0.00000297    0.00000000     -0.00000958    0.00000000      0.00000905    0.00000000     -0.00000058    0.00000000      0.00004952    0.00000000      0.00003680    0.00000000  
 1612    74 atomic    4 f  -1 	    -0.00013972    0.00000000     -0.00015083    0.00000000     -0.00003458    0.00000000     -0.00023440    0.00000000     -0.00004562    0.00000000      0.00000986    0.00000000     -0.00004104    0.00000000     -0.00020945    0.00000000      0.00020986    0.00000000      0.00006983    0.00000000     -0.00007543    0.00000000      0.00003169    0.00000000      0.00007647    0.00000000     -0.00006243    0.00000000      0.00010424    0.00000000      0.00000280    0.00000000  
 1613    74 atomic    4 f   0 	    -0.00000737    0.00000000      0.00003081    0.00000000      0.00000707    0.00000000      0.00000425    0.00000000      0.00000113    0.00000000     -0.00004534    0.00000000     -0.00002035    0.00000000     -0.00001809    0.00000000     -0.00001805    0.00000000     -0.00004296    0.00000000     -0.00000022    0.00000000      0.00001024    0.00000000     -0.00000204    0.00000000      0.00000137    0.00000000     -0.00004438    0.00000000      0.00006472    0.00000000  
 1614    74 atomic    4 f   1 	    -0.00000883    0.00000000      0.00000997    0.00000000      0.00018196    0.00000000     -0.00011700    0.00000000      0.00010765    0.00000000      0.00014014    0.00000000      0.00022050    0.00000000     -0.00012921    0.00000000     -0.00013790    0.00000000      0.00004803    0.00000000     -0.00008943    0.00000000     -0.00004303    0.00000000     -0.00021364    0.00000000     -0.00019228    0.00000000      0.00007364    0.00000000     -0.00004261    0.00000000  
 1615    74 atomic    4 f   2 	    -0.00000006    0.00000000      0.00001237    0.00000000     -0.00000027    0.00000000     -0.00000098    0.00000000     -0.00000973    0.00000000     -0.00000333    0.00000000      0.00000303    0.00000000     -0.00000060    0.00000000     -0.00000435    0.00000000      0.00006229    0.00000000      0.00000285    0.00000000     -0.00000442    0.00000000     -0.00000157    0.00000000      0.00000900    0.00000000      0.00003661    0.00000000     -0.00005041    0.00000000  
 1616    74 atomic    4 f   3 	    -0.00000367    0.00000000     -0.00004482    0.00000000     -0.00020054    0.00000000      0.00018120    0.00000000      0.00010113    0.00000000      0.00004754    0.00000000     -0.00015375    0.00000000     -0.00034094    0.00000000     -0.00019518    0.00000000      0.00001488    0.00000000     -0.00003062    0.00000000     -0.00002479    0.00000000     -0.00008874    0.00000000     -0.00006707    0.00000000      0.00001428    0.00000000      0.00001330    0.00000000  
 1617    74 hydro     4 f  -3 	     0.00357047    0.00000000      0.00211249    0.00000000     -0.00055584    0.00000000      0.00031157    0.00000000      0.00004133    0.00000000     -0.00001384    0.00000000      0.00002286    0.00000000     -0.00007561    0.00000000      0.00064708    0.00000000     -0.00083205    0.00000000     -0.00150139    0.00000000      0.00052578    0.00000000      0.00155119    0.00000000     -0.00122018    0.00000000     -0.00020671    0.00000000      0.00034113    0.00000000  
 1618    74 hydro     4 f  -2 	    -0.00005674    0.00000000     -0.00000932    0.00000000     -0.00008860    0.00000000     -0.00021575    0.00000000      0.00010170    0.00000000     -0.00005529    0.00000000     -0.00001565    0.00000000     -0.00000595    0.00000000     -0.00004175    0.00000000     -0.00023022    0.00000000     -0.00016339    0.00000000      0.00010201    0.00000000     -0.00015554    0.00000000      0.00010185    0.00000000     -0.00087690    0.00000000     -0.00080204    0.00000000  
 1619    74 hydro     4 f  -1 	     0.00178381    0.00000000      0.00159865    0.00000000      0.00038694    0.00000000      0.00270056    0.00000000      0.00044113    0.00000000      0.00017191    0.00000000      0.00052577    0.00000000      0.00244235    0.00000000     -0.00229299    0.00000000     -0.00145352    0.00000000      0.00086064    0.00000000     -0.00049794    0.00000000     -0.00081737    0.00000000      0.00057761    0.00000000     -0.00255387    0.00000000      0.00058447    0.00000000  
 1620    74 hydro     4 f   0 	    -0.00006949    0.00000000     -0.00021878    0.00000000      0.00010478    0.00000000     -0.00006508    0.00000000      0.00001638    0.00000000      0.00028947    0.00000000      0.00005771    0.00000000      0.00014449    0.00000000      0.00027301    0.00000000      0.00040842    0.00000000      0.00010331    0.00000000      0.00003080    0.00000000      0.00006276    0.00000000     -0.00008076    0.00000000      0.00051381    0.00000000     -0.00069031    0.00000000  
 1621    74 hydro     4 f   1 	    -0.00004240    0.00000000     -0.00002823    0.00000000     -0.00202717    0.00000000      0.00124183    0.00000000     -0.00121073    0.00000000     -0.00177199    0.00000000     -0.00254387    0.00000000      0.00139567    0.00000000      0.00162665    0.00000000     -0.00102127    0.00000000      0.00102981    0.00000000      0.00050602    0.00000000      0.00224483    0.00000000      0.00211024    0.00000000     -0.00255740    0.00000000      0.00114128    0.00000000  
 1622    74 hydro     4 f   2 	     0.00007510    0.00000000     -0.00013491    0.00000000      0.00001297    0.00000000      0.00002400    0.00000000      0.00005884    0.00000000      0.00003879    0.00000000     -0.00002936    0.00000000     -0.00003838    0.00000000      0.00002306    0.00000000     -0.00066202    0.00000000     -0.00000680    0.00000000      0.00007408    0.00000000      0.00000286    0.00000000     -0.00016889    0.00000000     -0.00113412    0.00000000      0.00093947    0.00000000  
 1623    74 hydro     4 f   3 	     0.00004823    0.00000000      0.00055287    0.00000000      0.00255023    0.00000000     -0.00228879    0.00000000     -0.00127754    0.00000000     -0.00061797    0.00000000      0.00200178    0.00000000      0.00436706    0.00000000      0.00253242    0.00000000     -0.00012094    0.00000000      0.00047789    0.00000000      0.00031821    0.00000000      0.00120541    0.00000000      0.00093996    0.00000000     -0.00038219    0.00000000     -0.00039749    0.00000000  
 1624    75 atomic    1 s   0 	     0.00001896    0.00000000      0.00004647    0.00000000     -0.00000071    0.00000000      0.00003413    0.00000000     -0.00004178    0.00000000     -0.00002394    0.00000000      0.00002176    0.00000000      0.00002321    0.00000000     -0.00006563    0.00000000     -0.00001214    0.00000000      0.00001639    0.00000000     -0.00003423    0.00000000     -0.00002969    0.00000000      0.00003618    0.00000000     -0.00000923    0.00000000      0.00000923    0.00000000  
 1625    75 atomic    2 s   0 	    -0.00012873    0.00000000     -0.00031579    0.00000000      0.00000487    0.00000000     -0.00023185    0.00000000      0.00028396    0.00000000      0.00016280    0.00000000     -0.00014776    0.00000000     -0.00015768    0.00000000      0.00044587    0.00000000      0.00008179    0.00000000     -0.00011140    0.00000000      0.00023260    0.00000000      0.00020173    0.00000000     -0.00024595    0.00000000      0.00006199    0.00000000     -0.00006232    0.00000000  
 1626    75 atomic    3 s   0 	     0.00045355    0.00000000      0.00111180    0.00000000     -0.00001711    0.00000000      0.00081693    0.00000000     -0.00099994    0.00000000     -0.00057261    0.00000000      0.00052066    0.00000000      0.00055538    0.00000000     -0.00157058    0.00000000     -0.00029149    0.00000000      0.00039043    0.00000000     -0.00081519    0.00000000     -0.00070701    0.00000000      0.00086120    0.00000000     -0.00022216    0.00000000      0.00022032    0.00000000  
 1627    75 atomic    4 s   0 	    -0.00142781    0.00000000     -0.00351388    0.00000000      0.00005621    0.00000000     -0.00258043    0.00000000      0.00316450    0.00000000      0.00181724    0.00000000     -0.00164114    0.00000000     -0.00175101    0.00000000      0.00496098    0.00000000      0.00088446    0.00000000     -0.00121810    0.00000000      0.00254055    0.00000000      0.00220264    0.00000000     -0.00268829    0.00000000      0.00066655    0.00000000     -0.00067004    0.00000000  
 1628    75 atomic    5 s   0 	     0.00509212    0.00000000      0.01270045    0.00000000     -0.00021217    0.00000000      0.00933627    0.00000000     -0.01151987    0.00000000     -0.00666255    0.00000000      0.00591415    0.00000000      0.00628673    0.00000000     -0.01795480    0.00000000     -0.00290246    0.00000000      0.00410255    0.00000000     -0.00849674    0.00000000     -0.00737282    0.00000000      0.00900622    0.00000000     -0.00215695    0.00000000      0.00214197    0.00000000  
 1629    75 ionic     6 s   0 	     0.04707942    0.00000000      0.12787301    0.00000000     -0.00423010    0.00000000      0.08740300    0.00000000     -0.11451975    0.00000000     -0.07335501    0.00000000      0.05344697    0.00000000      0.05954486    0.00000000     -0.17114260    0.00000000      0.01649797    0.00000000      0.05045885    0.00000000     -0.10530586    0.00000000     -0.09024950    0.00000000      0.11996473    0.00000000      0.02693507    0.00000000      0.00225679    0.00000000  
 1630    75 atomic    6 s   0 	     0.00671119    0.00000000      0.01786509    0.00000000     -0.00123294    0.00000000      0.01090723    0.00000000     -0.01453639    0.00000000     -0.00976806    0.00000000      0.00648432    0.00000000      0.00748176    0.00000000     -0.02141802    0.00000000      0.00686169    0.00000000      0.00659357    0.00000000     -0.01425326    0.00000000     -0.01202736    0.00000000      0.01702925    0.00000000      0.00847951    0.00000000     -0.00171636    0.00000000  
 1631    75 atomic    2 p  -1 	    -0.00001409    0.00000000      0.00000751    0.00000000      0.00001228    0.00000000     -0.00001140    0.00000000     -0.00001351    0.00000000     -0.00002106    0.00000000     -0.00000951    0.00000000     -0.00001747    0.00000000      0.00000344    0.00000000      0.00000171    0.00000000      0.00001153    0.00000000      0.00000755    0.00000000     -0.00000484    0.00000000     -0.00000133    0.00000000     -0.00000086    0.00000000      0.00000204    0.00000000  
 1632    75 atomic    2 p   0 	    -0.00000073    0.00000000     -0.00000229    0.00000000      0.00000035    0.00000000     -0.00000074    0.00000000      0.00000135    0.00000000      0.00000102    0.00000000     -0.00000036    0.00000000      0.00000006    0.00000000      0.00000180    0.00000000     -0.00000516    0.00000000     -0.00000013    0.00000000      0.00000051    0.00000000      0.00000040    0.00000000     -0.00000120    0.00000000     -0.00000366    0.00000000      0.00000213    0.00000000  
 1633    75 atomic    2 p   1 	     0.00000043    0.00000000      0.00000156    0.00000000      0.00000921    0.00000000      0.00000433    0.00000000     -0.00001725    0.00000000      0.00000146    0.00000000     -0.00000593    0.00000000      0.00002093    0.00000000      0.00002017    0.00000000      0.00000163    0.00000000      0.00002114    0.00000000     -0.00001476    0.00000000      0.00002342    0.00000000     -0.00000450    0.00000000     -0.00000025    0.00000000     -0.00000316    0.00000000  
 1634    75 atomic    3 p  -1 	     0.00013897    0.00000000     -0.00007413    0.00000000     -0.00012131    0.00000000      0.00011265    0.00000000      0.00013333    0.00000000      0.00020800    0.00000000      0.00009384    0.00000000      0.00017252    0.00000000     -0.00003396    0.00000000     -0.00001708    0.00000000     -0.00011380    0.00000000     -0.00007459    0.00000000      0.00004781    0.00000000      0.00001319    0.00000000      0.00000821    0.00000000     -0.00001984    0.00000000  
 1635    75 atomic    3 p   0 	     0.00000728    0.00000000      0.00002262    0.00000000     -0.00000348    0.00000000      0.00000731    0.00000000     -0.00001325    0.00000000     -0.00001002    0.00000000      0.00000358    0.00000000     -0.00000059    0.00000000     -0.00001782    0.00000000      0.00005147    0.00000000      0.00000125    0.00000000     -0.00000501    0.00000000     -0.00000391    0.00000000      0.00001182    0.00000000      0.00003670    0.00000000     -0.00002163    0.00000000  
